OID_,Value,Count,LRU
1,1,14895698.000000000000000,103
2,2,33579962.000000000000000,104
3,3,57631714.000000000000000,105
4,4,6330023.000000000000000,107
5,5,81233062.000000000000000,108
6,6,31698369.000000000000000,109
7,7,2042676.000000000000000,112
8,8,36110727.000000000000000,113
9,9,72938428.000000000000000,115
10,10,7632143.000000000000000,116B
11,11,4577651.000000000000000,116C
12,12,12361603.000000000000000,117
13,13,11242083.000000000000000,118A
14,14,13790703.000000000000000,119
15,15,26055705.000000000000000,120A
16,16,6926873.000000000000000,120B
17,17,2919415.000000000000000,120C
18,18,30420662.000000000000000,121
19,19,16966914.000000000000000,123
20,20,36227953.000000000000000,124
21,21,62172143.000000000000000,125
22,22,50311602.000000000000000,126
23,23,54938337.000000000000000,127
24,24,63444085.000000000000000,128
25,25,22863377.000000000000000,129
26,26,5980482.000000000000000,130A
27,27,45960329.000000000000000,130B
28,28,6938063.000000000000000,131D
29,29,6428407.000000000000000,131B
30,30,339319.000000000000000,131C
31,31,18739869.000000000000000,133B
32,32,3878263.000000000000000,135B
33,33,173791832.000000000000000,136
34,34,19436986.000000000000000,137
35,35,65388878.000000000000000,140
36,36,3393411.000000000000000,141
37,37,99420147.000000000000000,143
38,38,55456576.000000000000000,144A
39,39,65554852.000000000000000,144B
40,40,5549593.000000000000000,145
41,41,59005146.000000000000000,147
42,42,34580177.000000000000000,148
43,43,7607949.000000000000000,149B
44,44,52349353.000000000000000,153A
45,45,25195771.000000000000000,153B
46,46,3295925.000000000000000,57
47,47,10292255.000000000000000,88
48,48,10402904.000000000000000,89
49,49,50170902.000000000000000,90A
50,50,14566722.000000000000000,90B
51,51,10052291.000000000000000,91
52,52,3327968.000000000000000,92
53,53,17392588.000000000000000,94AB
54,54,7107602.000000000000000,94C
55,55,6055088.000000000000000,94D
56,56,7576762.000000000000000,96B
57,57,8930846.000000000000000,97A
58,58,36998419.000000000000000,98A1
59,59,15955467.000000000000000,153D
60,60,16005021.000000000000000,149A
61,61,109899.000000000000000,96
62,62,27698986.000000000000000,94B
63,63,49675179.000000000000000,95A
64,64,709587.000000000000000,93B
65,65,5166269.000000000000000,146
66,66,23209266.000000000000000,139A
67,67,48796779.000000000000000,93A
68,68,23575032.000000000000000,110
69,69,20118286.000000000000000,142
70,70,6019228.000000000000000,153C
71,71,50885.000000000000000,99
72,72,21928212.000000000000000,99A
73,73,67056900.000000000000000,133A
74,74,28673696.000000000000000,101
75,75,85007877.000000000000000,116A
76,76,60518930.000000000000000,122
77,77,42707933.000000000000000,134
78,78,11826977.000000000000000,135A
79,79,39410759.000000000000000,133C
80,80,49748445.000000000000000,131A
81,81,1076303.000000000000000,97B
82,82,6811234.000000000000000,98B
83,83,15789656.000000000000000,99B
84,84,3850733.000000000000000,96A
85,85,11042167.000000000000000,94AA
86,86,10817081.000000000000000,139B
87,87,3.000000000000000,98A
88,88,4099661.000000000000000,98A2
89,89,29218865.000000000000000,114
90,90,98007560.000000000000000,111B
