mukey,Component Name
538896,Alvira
539205,Alvira
539206,Alvira
1592626,Amanda
1592633,Amanda
172104,Amanda
286861,Amanda
286862,Amanda
286863,Amanda
286864,Amanda
286889,Amanda
1595453,Amanda
2216957,Amanda
2216958,Amanda
2216959,Amanda
2216960,Amanda
538143,Atkins
538899,Atkins
539209,Atkins
538945,Bethesda
1677336,Bogart
286871,Bogart
286872,Bogart
1412552,Bogart
2216962,Bogart
2900481,Bogart
2900482,Bogart
2900233,Braceville
2900234,Braceville
538144,Braceville
538145,Braceville
538146,Braceville
2900385,Braceville
2900386,Braceville
539210,Braceville
2216963,Brownsville
538154,Canadice
538157,Caneadea
538158,Caneadea
286880,Carlisle
286881,Centerburg
286882,Centerburg
2216969,Centerburg
2216970,Centerburg
1592631,Chili
1592632,Chili
1592658,Chili
1592659,Chili
1592633,Chili
1592640,Chili
1592641,Chili
286883,Chili
286884,Chili
286885,Chili
286886,Chili
286887,Chili
286888,Chili
286889,Chili
286948,Chili
286949,Chili
286950,Chili
288334,Chili
1406535,Chili
287968,Chili
2216971,Chili
2216972,Chili
2900247,Chili
2900248,Chili
2900399,Chili
2900400,Chili
1592634,Cidermill
1592635,Cidermill
286890,Cidermill
286891,Cidermill
1595459,Conotton
2900252,Conotton
2900253,Conotton
2900254,Conotton
2900313,Conotton
2900404,Conotton
2900405,Conotton
2900406,Conotton
2900407,Conotton
2900465,Conotton
2900466,Conotton
2217031,Dekalb
286897,Euclid
1652189,Fairpoint
287995,Fitchville
633746,Fredericktown
298770,Fredericktown
538173,Fredon
538173,Fredon
538174,Fredon
538174,Fredon
1650887,Gilpin
2900467,Gilpin
2900468,Gilpin
2900477,Gilpin
538188,Gresham
538189,Gresham
538190,Gresham
170762,Hanover
170763,Hanover
170764,Hanover
170765,Hanover
170766,Hanover
170767,Hanover
170768,Hanover
538927,Hanover
539237,Hanover
539238,Hanover
539239,Hanover
1595494,Holly
1406538,Homewood
1406539,Homewood
1406540,Homewood
1406541,Homewood
167977,Jimtown
613596,Jimtown
613597,Jimtown
2900483,Jimtown
2900343,Kensington
2900344,Kensington
288166,Killbuck
289670,Langford
289849,Langford
289850,Langford
1592612,Latham
170771,Latham
170772,Latham
288167,Linwood
288168,Lobdell
298802,Lobdell
286915,Lobdell
167983,Lobdell
1605991,Lobdell
1605802,Lobdell
1595496,Lorain
288169,Lordstown
288170,Lordstown
288171,Lordstown
288172,Lordstown
288173,Lordstown
167984,Lordstown
1406553,Lordstown
1406554,Lordstown
539247,Lordstown
539248,Lordstown
539249,Lordstown
539250,Lordstown
539250,Lordstown
286916,Loudonville
286917,Loudonville
286918,Loudonville
286919,Loudonville
1650889,Loudonville
2216973,Loudonville
2900287,Loudonville
2900288,Loudonville
2900289,Loudonville
2900290,Loudonville
2900439,Loudonville
2900440,Loudonville
2900441,Loudonville
2900442,Loudonville
170783,Luray
539251,Mardin
539255,Mardin
286921,Mechanicsburg
286922,Mechanicsburg
2900341,Mechanicsburg
286923,Melvin
286924,Melvin
288044,Mentor
289713,Middlebury
167988,Mitiwanga
2900443,Monongahela
2900444,Monongahela
2900445,Monongahela
538947,Monongahela
633758,Orrville
286925,Orrville
1595516,Orrville
538200,Philo
538939,Philo
539257,Philo
538202,Pope
538940,Pope
539259,Pope
1653924,Prout
167996,Prout
631469,Rainsboro
631471,Rainsboro
1292303,Rainsboro
2900301,Rexford
2900301,Rexford
2900453,Rexford
2900453,Rexford
539260,Rexford
538203,Riverhead
538204,Riverhead
538209,Riverhead
167997,Saylesville
1605992,Sebring
539262,Shelmadine
539263,Shelmadine
1412554,Shoals
1650890,Sloan
2216939,Sloan
2900302,Sloan
2900454,Sloan
1653925,Spinks
167999,Spinks
2900345,Teegarden
2900346,Teegarden
286935,Tioga
2216974,Tioga
1592614,Titusville
170809,Titusville
170810,Titusville
538207,Titusville
538208,Titusville
538209,Titusville
2900457,Tyler
2900458,Tyler
538946,Tyler
289719,Varysburg
172199,Wakeman
1650887,Weikert
2900473,Weikert
2900477,Wharton
288108,Wheeling
288109,Wheeling
288111,Wheeling
538225,Wheeling
538226,Wheeling
288396,Willette
2217018,Willette
289528,Wiscoy
1592640,Wooster
1592641,Wooster
286862,Wooster
286863,Wooster
286864,Wooster
286944,Wooster
286945,Wooster
286946,Wooster
286947,Wooster
286948,Wooster
286949,Wooster
286950,Wooster
614637,Wooster
614638,Wooster
614639,Wooster
614640,Wooster
1595453,Wooster
1589420,Wooster
2216958,Wooster
2216959,Wooster
2216960,Wooster
2216976,Wooster
2900326,Wooster
2900327,Wooster
2900328,Wooster
1913123,Wooster
1913124,Wooster
1913125,Wooster
1913126,Wooster
2900478,Wooster
2900479,Wooster
2900480,Wooster
538950,Wooster
538951,Wooster
538952,Wooster
539274,Wooster
539275,Wooster
539276,Wooster
289654,Wyalusing
