"lmukey","esiid","dmuiid","muiid","coiid","compname"
"169588","F099XY010MI",127223,169588,247310,"Toledo"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186374","R098XA002MI",754825,2545191,2528241,"Houghton"
"186776","F099XY010MI",594371,186776,1976754,"Histosols"
"186776","F099XY010MI",594371,186776,1976724,"Aquents"
"186776","F099XY010MI",594371,186776,1976724,"Aquents"
"186776","F099XY010MI",594371,186776,1976754,"Histosols"
"187220","F099XY010MI",762576,2662381,2405232,"Lenawee"
"187357","R096XY002MI",145108,187357,269737,"Kerston"
"187401","F099XY010MI",558108,187401,1867389,"Bach"
"187401","F099XY010MI",558108,187401,1867389,"Bach"
"189435","R096XY002MI",147250,189435,272986,"Fresh water marsh"
"192629","R097XA024MI",719477,2623885,2283158,"Adrian"
"192629","R097XA024MI",719477,2623885,2283158,"Adrian"
"192629","R097XA024MI",719477,2623885,2283157,"Houghton"
"192629","R097XA024MI",719477,2623885,2283158,"Adrian"
"192629","R097XA024MI",719477,2623885,2283157,"Houghton"
"192629","R097XA024MI",719477,2623885,2283157,"Houghton"
"192688","R097XA024MI",150146,192688,277068,"Marsh"
"193342","R096XY002MI",155251,193342,920378,"Glendora"
"193342","R096XY002MI",155251,193342,920379,"Houghton"
"193342","R096XY002MI",155251,193342,920380,"Gorvan"
"2633031","F139XY010OH",535926,2545881,1750106,"Adrian"
"3015048","F099XY010MI",146712,188897,272101,"Marsh"
